nodes,flows,pps,pkt_size,tx_range,coverage_mult,sim_time,throughput_mbps,avg_delay_ms,pdr_pct,drop_pct,energy_J
20,10,100,1024,2,1,40,2.83056,0.503856,99.8858,0.0913987,668.363
20,10,100,1024,3,1,40,2.83056,0.504869,99.8858,0.0913987,668.36
20,10,100,1024,4,1,40,4.66207,0.614563,99.9504,0.0396629,676.975
20,10,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,10,200,1024,2,1,40,5.63584,2.70134,99.4542,0.496921,681.009
20,10,200,1024,3,1,40,5.66139,0.683719,99.9347,0.0522679,680.331
20,10,200,1024,4,1,40,9.6543,50.0424,97.1894,2.53338,696.361
20,10,200,1024,5,1,40,8.03042,64.5351,97.1144,2.10156,696.854
20,10,300,1024,2,1,40,7.36067,33.6093,99.4871,0.409313,690.893
20,10,300,1024,3,1,40,10.8278,57.6708,98.3784,1.34777,697.165
20,10,300,1024,4,1,40,9.42088,56.9963,96.9672,2.52038,696.65
20,10,300,1024,5,1,40,10.2533,60.0864,97.3256,2.17513,697.663
20,10,400,1024,2,1,40,12.0732,66.7917,97.7294,1.90675,697.989
20,10,400,1024,3,1,40,9.97406,83.8055,98.0024,1.44233,698.148
20,10,400,1024,4,1,40,11.8038,65.2889,97.7621,1.9412,697.978
20,10,400,1024,5,1,40,12.156,72.0089,97.9788,1.7108,698.398
20,10,500,1024,2,1,40,11.1327,79.2731,97.6504,2.02167,697.886
20,10,500,1024,3,1,40,7.89866,61.2818,99.275,0.507608,693.839
20,10,500,1024,4,1,40,7.86019,111.888,98.3778,1.20817,698.066
20,10,500,1024,5,1,40,10.2467,70.8131,98.207,1.40865,698.228
20,20,100,1024,2,1,40,2.83056,0.503856,99.8858,0.0913987,668.363
20,20,100,1024,3,1,40,2.83056,0.504869,99.8858,0.0913987,668.36
20,20,100,1024,4,1,40,4.66207,0.614563,99.9504,0.0396629,676.975
20,20,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,20,200,1024,2,1,40,5.63584,2.70134,99.4542,0.496921,681.009
20,20,200,1024,3,1,40,5.66139,0.683719,99.9347,0.0522679,680.331
20,20,200,1024,4,1,40,9.6543,50.0424,97.1894,2.53338,696.361
20,20,200,1024,5,1,40,8.03042,64.5351,97.1144,2.10156,696.854
20,20,300,1024,2,1,40,7.36067,33.6093,99.4871,0.409313,690.893
20,20,300,1024,3,1,40,10.8278,57.6708,98.3784,1.34777,697.165
20,20,300,1024,4,1,40,9.98238,70.4361,96.6903,2.8177,697.067
20,20,300,1024,5,1,40,5.70231,12.5364,98.7798,0.984833,683.351
20,20,400,1024,2,1,40,13.8482,94.7308,98.1912,1.65822,699.096
20,20,400,1024,3,1,40,13.8482,94.7308,98.1912,1.65822,699.096
20,20,400,1024,4,1,40,13.8482,94.7308,98.1912,1.65822,699.096
20,20,400,1024,5,1,40,13.8482,94.7308,98.1912,1.65822,699.096
20,20,500,1024,2,1,40,8.17881,130.506,97.2143,2.42756,695.889
20,20,400,1024,3,1,40,8.12945,117.76,97.2604,2.20644,695.43
20,20,400,1024,3,3,40,0.000129882,2.7,8.92857,75,655.747
20,20,500,1024,3,1,40,12.853,105.981,98.1772,1.50782,699.635
20,20,500,1024,3,3,40,0.000129882,2.7,8.92857,75,655.747
20,30,100,1024,3,3,40,6.86245,13.7885,99.0352,0.701759,681.219
20,30,100,1024,4,1,40,4.66207,0.614563,99.9504,0.0396629,676.975
20,30,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,10,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,30,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,10,100,1024,5,1,40,4.66207,0.614563,99.9504,0.0396629,676.976
20,10,100,1024,50,1,40,12.3939,94.712,98.6444,1.13459,697.969
20,30,100,1024,5,1,40,11.571,81.4533,98.0308,1.75803,698.278
20,40,200,1024,3,2,40,1.30908,1.3827,99.8943,0.0845309,661.967
20,40,200,1024,3,3,40,1.86932,1.52,100,0,661.624
20,40,300,1024,3,2,40,1.68882,1.27633,99.8907,0.0874365,663.807
20,40,300,1024,3,3,40,2.80366,1.83191,99.8814,0.105464,664.616
20,40,400,1024,3,2,40,3.68583,3.50294,99.4377,0.432954,674.233
20,40,400,1024,3,3,40,3.74349,3.97367,99.647,0.0514845,668.946
20,40,500,1024,3,2,40,3.27574,1.88242,99.1467,0.567002,671.461
20,40,500,1024,3,3,40,4.68715,4.30889,99.6248,0.287289,671.805
20,50,100,1024,3,2,40,0.651054,1.67289,99.7883,0.169348,658.973
20,50,100,1024,3,3,40,0.933647,1.69438,100,0,658.683
20,50,100,1024,4,1,40,0.465435,1.05381,99.5079,0.393701,658.697
20,50,100,1024,5,1,40,0.465435,1.05381,99.5079,0.393701,658.697
20,50,200,1024,3,2,40,1.30908,1.3827,99.8943,0.0845309,661.967
20,50,200,1024,3,3,40,1.86932,1.52,100,0,661.624
20,50,200,1024,4,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,50,200,1024,5,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,50,300,1024,3,2,40,1.68882,1.27633,99.8907,0.0874365,663.807
20,50,300,1024,3,3,40,2.80366,1.83191,99.8814,0.105464,664.616
20,50,400,1024,3,2,40,3.68583,3.50294,99.4377,0.432954,674.233
20,50,400,1024,3,3,40,3.74349,3.97367,99.647,0.0514845,668.946
20,50,500,1024,3,2,40,3.27574,1.88242,99.1467,0.567002,671.461
20,50,500,1024,3,3,40,4.68715,4.30889,99.6248,0.287289,671.805
40,10,100,1024,3,2,40,0.739288,4.51064,99.6033,0.359489,1320.77
20,20,500,1024,4,1,40,2.78775,0.663715,99.9337,0.0530275,668.356
20,20,500,1024,5,1,40,2.78775,0.663748,99.9337,0.0530275,668.356
20,30,100,1024,2,1,40,0.282593,0.509612,98.8724,0.902062,657.82
20,30,200,1024,2,1,40,0.565793,0.506771,99.4322,0.45425,658.993
20,30,200,1024,3,1,40,0.565793,0.507097,99.4322,0.45425,658.995
20,30,200,1024,4,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,30,200,1024,5,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,30,300,1024,2,1,40,0.848993,0.501251,99.6206,0.303556,660.162
20,30,300,1024,3,1,40,0.848993,0.501251,99.6206,0.303556,660.161
20,30,300,1024,4,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,30,300,1024,5,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,30,400,1024,2,1,40,1.13192,0.502205,99.715,0.227994,661.326
20,30,400,1024,3,1,40,1.13192,0.502123,99.715,0.227994,661.328
20,30,400,1024,4,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,30,400,1024,5,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,30,500,1024,2,1,40,1.41456,0.502418,99.7718,0.182589,662.491
20,30,500,1024,3,1,40,1.41456,0.502418,99.7718,0.182589,662.492
20,30,500,1024,4,1,40,2.78775,0.663715,99.9337,0.0530275,668.356
20,30,500,1024,5,1,40,2.78775,0.663748,99.9337,0.0530275,668.356
20,40,100,1024,2,1,40,0.282593,0.509612,98.8724,0.902062,657.82
20,40,100,1024,3,1,40,0.282593,0.50668,98.8724,0.902062,657.821
20,40,100,1024,4,1,40,0.465435,1.05381,99.5079,0.393701,658.697
20,40,100,1024,5,1,40,0.465435,1.05381,99.5079,0.393701,658.697
20,40,200,1024,2,1,40,0.565793,0.506771,99.4322,0.45425,658.993
20,40,200,1024,3,1,40,0.565793,0.507097,99.4322,0.45425,658.995
20,40,200,1024,4,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,40,200,1024,5,1,40,0.931882,0.842397,99.753,0.197628,660.743
20,40,300,1024,2,1,40,0.848993,0.501251,99.6206,0.303556,660.162
20,40,300,1024,3,1,40,0.848993,0.501251,99.6206,0.303556,660.161
20,40,300,1024,4,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,40,300,1024,5,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,40,400,1024,2,1,40,1.13192,0.502205,99.715,0.227994,661.326
20,40,400,1024,3,1,40,1.13192,0.502123,99.715,0.227994,661.328
20,40,400,1024,4,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,40,400,1024,5,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,40,500,1024,2,1,40,1.41456,0.502418,99.7718,0.182589,662.491
20,40,500,1024,3,1,40,1.41456,0.502418,99.7718,0.182589,662.492
20,40,500,1024,4,1,40,2.78775,0.663715,99.9337,0.0530275,668.356
20,40,500,1024,5,1,40,2.78775,0.663748,99.9337,0.0530275,668.356
20,50,100,1024,2,1,40,0.282593,0.509612,98.8724,0.902062,657.82
20,50,100,1024,3,1,40,0.282593,0.50668,98.8724,0.902062,657.821
20,50,200,1024,2,1,40,0.565793,0.506771,99.4322,0.45425,658.993
20,50,200,1024,3,1,40,0.565793,0.507097,99.4322,0.45425,658.995
20,50,300,1024,2,1,40,0.848993,0.501251,99.6206,0.303556,660.162
20,50,300,1024,3,1,40,0.848993,0.501251,99.6206,0.303556,660.161
20,50,300,1024,4,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,50,300,1024,5,1,40,1.39833,0.769871,99.8351,0.131926,662.762
20,50,400,1024,2,1,40,1.13192,0.502205,99.715,0.227994,661.326
20,50,400,1024,3,1,40,1.13192,0.502123,99.715,0.227994,661.328
20,50,400,1024,4,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,50,400,1024,5,1,40,1.86422,0.741385,99.8762,0.0990393,664.827
20,50,500,1024,2,1,40,1.41456,0.502418,99.7718,0.182589,662.491
20,50,500,1024,3,1,40,1.41456,0.502418,99.7718,0.182589,662.492
20,50,500,1024,4,1,40,2.78775,0.663715,99.9337,0.0530275,668.356
20,50,500,1024,5,1,40,2.78775,0.663748,99.9337,0.0530275,668.356
40,10,100,1024,2,1,40,0.559633,1.43583,99.672,0.262381,1326.85
40,10,100,1024,3,1,40,0.56089,1.77924,99.5422,0.392413,1326.73
40,10,100,1024,4,1,40,0.559633,1.39931,99.672,0.262381,1326.76
40,10,100,1024,5,1,40,0.559633,1.39931,99.672,0.262381,1326.77
40,10,200,1024,2,1,40,1.12086,1.46143,99.5171,0.450119,1333.06
40,10,200,1024,3,1,40,1.12048,1.48229,99.8355,0.131601,1333.27
40,10,200,1024,4,1,40,1.12048,1.46103,99.8355,0.131601,1333.35
40,10,200,1024,5,1,40,1.12048,1.53197,99.8355,0.131601,1333.3
40,10,300,1024,2,1,40,1.68137,1.28175,99.6771,0.300974,1339.02
40,10,300,1024,3,1,40,1.68208,2.16262,99.1883,0.473934,1338.77
40,10,300,1024,4,1,40,1.68323,1.66124,99.3084,0.343063,1339.4
40,10,300,1024,5,1,40,1.68149,1.46115,99.5629,0.092886,1339.2
40,10,400,1024,2,1,40,3.69275,4.969,98.929,0.996628,1358.13
40,10,400,1024,3,1,40,3.68682,3.10947,99.2363,0.73138,1357.44
40,10,400,1024,4,1,40,3.70029,6.03717,99.2094,0.619563,1358.68
40,10,400,1024,5,1,40,3.69924,4.91156,99.4199,0.490828,1360
40,10,500,1024,2,1,40,2.77698,3.83495,98.7802,1.16715,1352.19
40,10,500,1024,3,1,40,2.80376,2.49597,99.0761,0.498001,1351.94
40,10,500,1024,4,1,40,2.80644,3.52739,99.1006,0.755996,1352.74
40,10,500,1024,5,1,40,2.81119,4.18736,98.6936,1.13418,1352.85
40,20,100,1024,2,1,40,1.10561,2.14052,99.5033,0.430464,1331.77
40,20,100,1024,3,1,40,1.20112,2.18224,99.588,0.366189,1332.26
40,20,100,1024,4,1,40,1.1949,1.70653,99.5633,0.383054,1332.24
40,20,100,1024,5,1,40,1.1949,1.70629,99.5633,0.383054,1332.24
40,20,200,1024,2,1,40,2.21381,1.67004,99.6637,0.303068,1342.75
40,20,200,1024,3,1,40,2.37614,2.79577,99.4468,0.44876,1344.15
40,20,200,1024,4,1,40,2.39684,3.14935,99.2591,0.412434,1345.89
40,20,200,1024,5,1,40,2.39218,5.09587,99.0061,0.779817,1348.64
40,20,300,1024,2,1,40,3.14915,3.07297,98.6992,0.817012,1353.55
40,20,300,1024,3,1,40,4.91275,17.6865,97.7738,1.63452,1378.71
40,20,300,1024,4,1,40,3.68904,7.7056,99.2038,0.471254,1361.91
40,20,300,1024,5,1,40,3.69362,3.72995,98.8302,0.918088,1359.75
40,20,400,1024,2,1,40,6.1338,33.5555,97.209,2.1729,1388.61
40,20,400,1024,3,1,40,4.6948,10.0221,98.5034,0.780267,1373.15
40,20,400,1024,4,1,40,5.02469,13.7932,98.3934,1.18923,1379.26
40,20,400,1024,5,1,40,4.93041,11.4259,98.5992,0.991067,1375.57
40,20,500,1024,2,1,40,5.55287,18.0309,98.0955,1.26477,1383.49
40,20,500,1024,3,1,40,6.74188,42.7291,97.08,2.29123,1392.15
40,20,500,1024,4,1,40,5.86629,24.0066,97.8665,1.42493,1389.72
40,20,500,1024,5,1,40,5.71334,21.8,97.7526,1.66551,1385.86
40,30,100,1024,2,1,40,1.10561,2.14052,99.5033,0.430464,1331.77
40,30,100,1024,3,1,40,1.20112,2.18224,99.588,0.366189,1332.26
40,30,100,1024,4,1,40,1.1949,1.70653,99.5633,0.383054,1332.24
40,30,100,1024,5,1,40,1.1949,1.70629,99.5633,0.383054,1332.24
40,30,200,1024,2,1,40,2.21381,1.67004,99.6637,0.303068,1342.75
40,30,200,1024,3,1,40,2.37614,2.79577,99.4468,0.44876,1344.15
40,30,200,1024,4,1,40,2.39684,3.14935,99.2591,0.412434,1345.89
40,30,200,1024,5,1,40,2.39218,5.09587,99.0061,0.779817,1348.64
